Min Samples,Epsilon,No. of Before Clusters,No. of After Clusters,No. of Before Noise points,No. of After Noise points
230,0.02276610676374036,7,20085,7,26170
240,0.014609910339315028,14,35087,18,43443
240,0.015609910339315029,15,31821,15,38632
240,0.01660991033931503,8,29664,10,36512
240,0.01760991033931503,9,27715,10,33700
240,0.01860991033931503,7,26152,8,32004
240,0.019609910339315032,6,24491,8,30686
240,0.020609910339315033,6,23705,8,29051
240,0.021609910339315034,10,21797,6,28119
240,0.022609910339315035,8,20952,6,27409
240,0.023609910339315036,7,20142,7,26258
250,0.015420286501613204,10,34560,13,42893
250,0.016420286501613205,15,31114,14,37882
250,0.017420286501613206,10,29355,11,36040
250,0.018420286501613207,7,27617,6,34059
250,0.019420286501613208,7,26111,8,31999
250,0.02042028650161321,7,24408,8,30713
250,0.02142028650161321,6,23682,7,29331
250,0.02242028650161321,9,22094,7,28146
250,0.02342028650161321,7,21191,5,27705
250,0.024420286501613212,6,20436,6,26525
